Title,MH1843,HGPP1849,HT1886,CS1908,CH1941,SDAH,NZK,WN,HSAB1852,HT1869
A child of the King,,,,,,468,,,,
A diligent and grateful heart.,,,,,,639,,,,
A hymn of glory let us sing. ,,,,,,228,,,,
A mighty fortress is our God.,,,,,,506,,,,
A quiet place,,,,,,503,,,,
A shelter in the time of storm ....,,,,,,528,,,,
A song of heaven and homeland..,,,,,,472,,,,
A wonderful Savior is Jesus.....,,,,,,520,,,,
"Abide with me, 'tis eventide.",,,,,,46,,,,
"Abide with me, fast falls the",,,,,50,50,91,133,,
Alas! and did my Savior bleed?,,,,,,163,,,,
All creatures of our God and King,,,,,,2,,,,
"All glory, laud, and honor..",,,,,,230,,,,
All hail the power,,,,258,156,229,4,4,,
All my doubts I give to Jesus,,,,,,,,174,,
All my hope on God is founded,,,,,,5,,,,
All people that on earth do dwell.,,,,,,16,,,,
All praise to our redeeming Lord,,,,,101,,,53,,
"All praise to Thee, my God.",,,,,,53,,,,
All that thrills my soul....,,,,,,189,,,,
All the way my Saviour leads me,,,,,259,516,155,224,,
All things are Thine.,,,,,,376,,,,
All things bright and beautiful,,,,,,93,,,,
All things come of Thee...,,,,,,665,,,,
All things praise God,,,,,,,,31,,
All to Jesus I surrender,,,,,573,309,122,168,,
All who love and serve your city...,,,,,,356,,,,
"All ye mountains, praise the Lord",,,,,,23,,,,
"Alleluia, sing to Jesus",,,,,,167,,,,
"Almighty Father, hear our prayer",,,,,,693,,,,
Am I a soldier of the cross?,,,,,,609,,115,,
Amazing grace,,,,,,108,,,,
Amens,,,,,,663,,,,
An upper room did our Lord,,,,,,397,,,,
And can it be that I should gain...,,,,,,198,,,,
And have the bright immensities..,,,,,,168,,,,
Angels from the realms of glory...,,,,,,119,,,,
Angels we have heard on high,,,,,,142,,,,
Angry words,,,,,,,150,219,,
Another six days' work is done,,,,,456,,81,118,,
Anywhere with Jesus,,,,,589,508,133,195,,
Are you ready,,,,,,,,243,,
Are you weary,,,,,,,124,171,,
"Arise, my soul, arise",,,,,,38,,,,
"Art thou weary, art thou languid?..",,,,,,,112,,,
As birds unto the genial homeland,,,,,,395,,,,
As it fell upon a night.,,,,,,129,,,,
As Jacob with travel was weary,,,,,,628,,,,
As men of old their firstfruits,,,,,,556,,,,
As pants the hart for cooling........,,,,,,113,,,,
As saints of old......,,,,,,556,,,,
As the bridegroom to his chosen..,,,,,,459,,,,
As water to the thirsty,,,,,,460,,,,
As we come to You in prayer.,,,,,,671,,,,
As with gladness men of old.........,,,,,,123,,,,
"As You have promised, Lord",,,,,,682,,,,
Ask not to be excused,,,,,,,57,79,,
Asleep in Jesus,,,,,,,187,281,,
At first I prayed for light,,,,,,488,,,,
At the cross,,,,,,163,,,,
At the name of Jesus.,,,,,,232,,,,
"Awake my soul, stretch",,,,,355,611,66,97,,
"Awake, awake to love and work.",,,,,,576,,,,
Away in a manger,,,,,,124,,,,
Balm in Gilead,,,,,,475,,,,
Baptize us anew,,,,,525,258,189,283,,
Be not dismayed,,,,,,,,317,,
"Be silent, be silent",,,,,,479,,,,
"Be still, my soul..",,,,,,461,,,,
Be Thou my vision,,,,,,547,,,,
Beautiful Zion,,,,,,450,,,,
Beauty for ashes,,,,,,,,30,,
Because He lives.,,,,,,526,,,,
Before Jehovah's awful throne,,,,,,82,,,,
Beneath the Cross of Jesus,,,,,,303,141,,,
Beneath the forms of outward rite,,,,,,399,,,,
Beulah land,,,,,,,,277,,
Beyond the sea,,,,,,,,274,,
Bless Thou the gifts,,,,,,686,,,,
Blessed are they that do,,,,,,,,193,,
Blessed Assurance,,,,,608,462,51,68,,
"Blessed Jesus, at Thy word.",,,,,,60,,,,
Blessed Lord how much I need Thee,,,,597,578,,16,16,,
Blest be the King..,,,,,,231,,,,
Blest be the tie,,,,,432,350,47,70,,
Bread of the world.,,,,,,398,,,,
"Break forth, O beauteous",,,,,,128,,,,
Break Thou the Bread of Life,,,,,218,271,191,284,,
"Breathe on me, Breath of God",,,,,,265,,,,
Bring ye all the tithes,,,,,,,95,,,
Bringing in the sheaves,,,,,,369,,,,
Built on the Rock,,,,,,347,,,,
Burdens are lifted at Calvary,,,,,,476,,,,
By and By we'll see the king,,,,,,,,330,,
By Christ redeemed,,,,,,402,,,,
Called to the feast,,,,,537,,172,250,,
Can you count the stars?,,,,,,98,,,,
Cast thy burden upon the Lord,,,,,,666,,,,
Cause me to hear,,,,,,685,,,,
Chief of Sinners,,,,,238,295,121,184,,
Children of the heavenly Father...,,,,,,101,,,,
Christ for the world we sing...,,,,,,370,,,,
Christ has for sin atonement made,,,,,,335,,,,
Christ is alive!......,,,,,,182,,,,
Christ is coming,,,,,,201,,,,
Christ is made the sure,,,,,,235,,,,
Christ is the world's light..,,,,,,234,,,,
Christ is the world's true light,,,,,,345,,,,
Christ our mighty captain,,,,,,,,110,,
Christ the Lord is risen Today,,,,,,166,,316,,
Christ upon the mountain peak....,,,,,,147,,,,
"Christ, the Lord, all power.",,,,,,415,,,,
"Christ, whose glory fills the skies..",,,,,,233,,,,
"Christian, seek not repose",,,,,,603,,,,
Close to Thee,,,,,,,,25,,
"Closer to Thee, my Father",,,,,632,,148,209,,
"Come down, O Love divine....",,,,,,257,,,,
Come every soul by sin oppressed,,,,,567,,,151,,
Come Thou fount,,,,398,291,334,10,10,,
Come to Jesus,,,,,,,,156,,
"Come to the Saviour, make no delay ....",,,,,,,99,,,
"Come unto Me, ye weary.",,,,,433,,,158,,
"Come, all Christians, be.",,,,,,634,,,,
"Come, Christians, join to sing.",,,,,,10,,,,
"Come, come, ye saints",,,,,,622,,,,
"Come, every soul by sin oppressed",,,,,,279,,,,
"Come, Holy Spirit, heavenly dove",,,,,,269,,,,
"Come, labor on",,,,,,357,,,,
"Come, let us sing of homeland.",,,,,,431,,,,
"Come, let us sing the song of",,,,,,252,,,,
"Come, my way, my truth, my life.",,,,,,247,,,,
"Come, O Sabbath day.",,,,,,387,,,,
"Come, sing a song of harvest..",,,,,,562,,,,
"Come, Thou Almighty King.",,,,,,71,,,,
"Come, Thou fount of every...",,,,,,334,,,,
"Come, Thou long expected Jesus.",,,,,,204,,,,
"Come, we that love the Lord",,,,,640,422,70,116,,
"Come, ye  disconsolate",,,,,,477,,,,
"Come, ye sinners, poor and needy",,,,,,280,,,,
"Come, ye thankful people, come..",,,,,,557,,,,
"Come, you faithful",,,,,,169,,,,
"Come, you faithful",,,,,,170,,,,
Cover with His life,,,,,,412,,,,
Creator of the stars of night.,,,,,,72,,,,
Crowded is your heart,,,,,,,,179,,
Crown Him with many crowns.,,,,,,223,25,,,
Crowning jewel of Creation........,,,,,,385,,,,
Day by day and with each passing,,,,,,532,,,,
"Day by day, dear Lord",,,,,,689,,,,
Day is dying in the West.,,,,,51,51,92,134,,
"Day of judgment, day of wonder..",,,,,,418,,,,
Days are filled with sorrow and....,,,,,,476,,,,
Dear Lord and Father,,,,,,480,,,,
Dear Lord and Father,,,,,,481,,,,
Dear Lord I'm coming,,,,,,,,214,,
"Dear Lord, we come at set of sun",,,,,,392,,,,
Dearest Name in earth,,,,,,,,28,,
Deeper yet.....,,,,,,302,,,,
Delightful day best gift.,,,,,,,,128,,
Depth of mercy,,,,,,521,,,,
"Dismiss us Lord, with blessing.",,,,,,690,,,,
Does Jesus care?,,,,,,181,,227,,
Don't forget the Sabbath,,,,,653,388,84,120,,
Don't you see my Jesus coming?...,,,,,,454,,,,
Down at the cross,,,,300,,,19,19,,
Draw me nearer,,,,,,306,,319,,
Draw us in the Spirit's tether.,,,,,,259,,,,
"Dying with Jesus, by death",,,,,,507,,,,
Earthly pleasures vainly call me....,,,,,,311,,,,
"Eternal Father, strong to save........",,,,,,85,,,,
"Eternal God, whose power",,,,,,90,,,,
"Eternal love, we have no good......",,,,,,496,,,,
Every flower that grows.....,,,,,,550,,,,
Every star shall sing a carol.,,,,,,24,,,,
Face to face with Christ,,,,,545,206,175,258,,
Fairest Lord Jesus,,,,,,240,,,,
Faith is the victory.,,,,,,608,,,,
Faith of our fathers.,,,,,,304,,318,,
Far and near the Fields.,,,,,448,358,94,136,,
Far away in the depths of my.,,,,,,466,,,,
Far from all care,,,,,,394,,,,
Father we come to Thee.,,,,526,599,,21,6,,
"Father, help your people..",,,,,,353,,,,
"Father, I Stretch my hands",,,,,670,486,143,217,,
"Father, lead me day by day",,,,,,482,,,,
"Father, we thank you",,,,,,566,,,,
"Father, who on us do shower",,,,,,643,,,,
Fight the good fight,,,,,,613,,,,
"Fill my cup, Lord",,,,,,493,,,,
"Fire of God, Thou sacred flame",,,,,,263,,,,
Firmly stand for God.,,,,,,,68,101,,
"Follow, follow..",,,,,,,,323,,
For all the saints.,,,,,,421,,,,
For beauty of meadows,,,,,,640,,,,
For ever here my rest shall be,,,,,,,190,,,
For God so loved us,,,,,,78,,,,
For sunrise hope and sunset calm,,,,,,564,,,,
For the beauty of the earth,,,,,,565,,,,
For the fruits of His creation,,,,,,558,,,,
"For thee, O dear, dear country",,,,,,424,,,,
For you I am praying.,,,,,,284,,,,
For Your holy Book we thank,,,,,,277,,,,
Forgive our sins as we forgive,,,,,,299,,,,
From every stormy wind that.,,,,,,527,,,,
